wds_identifier,wds_rownum
19160+1508BPM,115884.0
19160+0214TDT,115885.0
19160-0238J,115886.0
19161+4625DEA,115892.0
19161+4256KOI,115895.0
19161+2730HLM,115897.0
19162+6333MOT,115905.0
19162+4505COU,115906.0
19162+3621ES,115909.0
19162+2827ELS,115910.0
19162+2827ELS,115910.0
19162+2123OCC,115913.0
19162+2123HJ,115914.0
19162-6710LDS,115923.0
19163+5028KOI,115925.0
19163+4925KOI,115926.0
19163+4925KOI,115926.0
19163+4724KOI,115927.0
19163+4707KOI,115929.0
19163+4134KOI,115930.0
19163+4018COU,115932.0
19163+4018COU,115932.0
19163+0438HJ,115938.0
19163-3224LDS,115940.0
19163-3519TDT,115942.0
19164+7931MLR,115944.0
19164+4301KOI,115945.0
19164+4301KOI,115945.0
19164+4141KOI,115946.0
19164+4045KOI,115947.0
19164+4045KOI,115947.0
19164+3954ALI,115948.0
19164+3941KOI,115949.0
19164+1612BPM,115952.0
19164+1612BPM,115952.0
19164+1433CHR,115954.0
19164+1433WAL,115956.0
19164-2521HJ,115959.0
19164-4528HDS,115962.0
19164-6307TDT,115965.0
19165+7725TDT,115966.0
19165+5052ES,115968.0
19165+5003COU,115969.0
19165+5003COU,115969.0
19165+4734TDT,115970.0
19166+3903COU,115977.0
19166+3036TDT,115978.0
19166+1503BPM,115980.0
19166-2928UC,115982.0
19166-2928UC,115982.0
19166-6257TDT,115984.0
19166-7103TDT,115985.0
19166-7103TDT,115985.0
19167+4804KOI,115986.0
19167+3308HO,115987.0
19167+2417A,115989.0
19167+2417A,115989.0
19167-1508J,115992.0
19167-4553RST,115995.0
19167-7648TDT,115996.0
19168+4639KOI,116000.0
19168+4409KOI,116001.0
19168+4016KOI,116002.0
19168+4016KOI,116002.0
19168+2426POU,116003.0
19168+2426POU,116003.0
19168+2330POU,116004.0
19168+0141BAL,116006.0
19168-1921MRA,116007.0
19168-1921HTS,116008.0
19168-2047HDS,116032.0
19168-5956UC,116034.0
19169+6057STI,116037.0
19169+4753KOI,116038.0
19169+4405KOI,116042.0
19169+4405KOI,116042.0
19169+4208TDT,116044.0
19169+3923KOI,116045.0
19169+3923KOI,116045.0
19169+3905DEA,116046.0
19169+3905DEA,116046.0
19169+1359BPM,116048.0
19169+0510LDS,116049.0
19169+0510LDS,116049.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169+0510CSN,116050.0
19169-2049ARA,116074.0
19170+6808MLR,116076.0
19170+4129KOI,116078.0
19170+3358ES,116079.0
19170+2712ELS,116081.0
19170+0144BAL,116085.0
19170-2157UC,116087.0
19171+4428KOI,116090.0
19171+4015TDT,116091.0
19171+2724TDT,116092.0
19171+2358TDT,116094.0
19171-1905ARA,116100.0
19171-3343RST,116102.0
19172+5145JKA,116103.0
19172+4055KOI,116104.0
19172+3750ES,116105.0
19172+1403BPM,116108.0
