wds_identifier,source_id_a,source_id_b,ref_epoch_a,ref_epoch_b,ra_a,ra_b,ra_error_a,ra_error_b,dec_a,dec_b,dec_error_a,dec_error_b,parallax_a,parallax_b,parallax_error_a,parallax_error_b,parallax_over_error_a,parallax_over_error_b,pmra_a,pmra_b,pmra_error_a,pmra_error_b,pmdec_a,pmdec_b,pmdec_error_a,pmdec_error_b,radial_velocity_a,radial_velocity_b,radial_velocity_error_a,radial_velocity_error_b,astrometric_params_solved_a,astrometric_params_solved_b,visibility_periods_used_a,visibility_periods_used_b,astrometric_sigma5d_max_a,astrometric_sigma5d_max_b,ruwe_a,ruwe_b,phot_g_mean_mag_a,phot_g_mean_mag_b,phot_g_mean_flux_over_error_a,phot_g_mean_flux_over_error_b,phot_bp_mean_mag_a,phot_bp_mean_mag_b,phot_bp_mean_flux_over_error_a,phot_bp_mean_flux_over_error_b,phot_rp_mean_mag_a,phot_rp_mean_mag_b,phot_rp_mean_flux_over_error_a,phot_rp_mean_flux_over_error_b,bp_rp_a,bp_rp_b,phot_bp_rp_excess_factor_a,phot_bp_rp_excess_factor_b
00003+0800UC,2746742709482926208,2746745664420425344,2016.0,2016.0,0.07764378745132296,0.06666128779103093,0.03655324876308441,0.01820213720202446,7.998000162707221,8.007234476704186,0.02741982974112034,0.01447809487581253,3.2084856012023852,3.509488517295404,0.049159884452819824,0.027103081345558167,65.26634216308594,129.48670959472656,53.433268322168,61.29304805557035,0.0674758180975914,0.028586119413375854,-2.493423951887258,-0.0496943552773713,0.027813367545604706,0.014723865315318108,-69.01298522949219,-11.479512214660645,2.008094072341919,0.12053495645523071,31.0,31.0,17.0,16.0,0.09412185847759247,0.040168192237615585,2.565809488296509,1.092122197151184,14.179370880126953,7.078522682189941,6230.05810546875,6560.25,14.900390625,7.800614833831787,879.6163940429688,1775.758544921875,13.351229667663574,6.255655765533447,1768.8975830078125,2180.6201171875,1.5491609573364258,1.5449590682983398,1.2758464813232422,1.2711044549942017
00003-0257DVG,2448187747347233664,2448187747347250048,2016.0,2016.0,0.06967488587039339,0.06985505460968468,0.015686891973018646,0.02978702448308468,-2.945692791149327,-2.9478433528897705,0.012064204551279545,0.021055536344647408,4.363596819007286,4.397512700370383,0.017900338396430016,0.0341685451567173,243.77175903320312,128.70062255859375,45.52489427990838,45.4971088497622,0.020100554451346397,0.03611878305673599,-10.119711157204703,-10.784916225390555,0.013114336878061295,0.023018717765808105,-3.568458318710327,nan,0.44137313961982727,nan,31.0,31.0,16.0,16.0,0.029069682583212852,0.05120193585753441,0.9139674305915833,1.8781452178955078,11.099536895751953,9.774309158325195,6779.33154296875,10117.6376953125,11.415453910827637,10.135239601135254,1236.83740234375,4092.452392578125,10.612184524536133,9.242667198181152,2642.9365234375,5617.90576171875,0.8032693862915039,0.8925724029541016,1.2015342712402344,1.2069730758666992
00003-0941RST,2422932029680389888,2422932033975356544,2016.0,2016.0,0.06796537388970511,0.06814789540802241,0.061664119362831116,0.20235463976860046,-9.691196093443015,-9.691001285726733,0.04394398257136345,0.058937735855579376,2.2336548575152135,2.1156114552091645,0.0755438357591629,0.06324100494384766,29.567665100097656,33.453163146972656,0.9753232761390385,-0.21740480903662204,0.07295092195272446,0.19969986379146576,-5.080603158569153,-4.766327660643925,0.049550861120224,0.06265554577112198,-8.535301208496094,-5.981262683868408,1.690537691116333,2.1188302040100098,95.0,95.0,15.0,9.0,0.10447666794061661,0.34087032079696655,3.3320229053497314,1.3745343685150146,11.558731079101562,12.204483985900879,1331.0029296875,451.875732421875,11.421751022338867,11.471245765686035,122.99736022949219,103.10391235351562,10.720074653625488,10.7287015914917,125.375244140625,181.2505340576172,0.7016763687133789,0.7425441741943359,1.734065055847168,3.0636324882507324
00004+7139KPP,531377790566662656,531377790566662784,2016.0,2016.0,0.103492404587255,0.10754142829251323,0.012350533157587051,0.033215854316949844,71.64576443615302,71.64530458399332,0.013332441449165344,0.034687288105487823,7.254842905674771,7.355174849165829,0.014565072022378445,0.038822975009679794,498.0986633300781,189.4541778564453,-2.231006727340023,-2.082706629002576,0.015408571809530258,0.041316498070955276,-35.407868755216434,-34.10429314156308,0.017695292830467224,0.04428388178348541,-18.222726821899414,-14.487135887145996,3.1434004306793213,2.1487631797790527,31.0,31.0,28.0,28.0,0.026008617132902145,0.06518439948558807,1.6703112125396729,3.8362135887145996,13.037672996520996,13.654006004333496,4302.4150390625,4252.12255859375,13.734234809875488,14.556891441345215,1510.9844970703125,819.628662109375,12.172974586486816,12.709405899047852,2195.499755859375,1360.958740234375,1.5612602233886719,1.8474855422973633,1.3152576684951782,1.3204649686813354
00004+6026STI,429342935412328704,429343004131805568,2016.0,2016.0,0.1086145883882358,0.10347627412792273,0.008516134694218636,0.009430262260138988,60.42764401971759,60.42535932610575,0.009579706005752087,0.01175998616963625,10.264339307907202,10.208162459470056,0.011911737732589245,0.013803700916469097,861.6995239257812,739.5235595703125,29.09737937731211,28.22648562672177,0.011888830922544003,0.01361073274165392,11.99914667240647,11.723671661741903,0.012346601113677025,0.01586442068219185,-8.47336483001709,-8.908098220825195,0.299725204706192,0.22793357074260712,31.0,31.0,26.0,25.0,0.019973738119006157,0.024861179292201996,0.936606764793396,0.971209704875946,10.612061500549316,10.041016578674316,2381.8310546875,6540.77880859375,11.078787803649902,10.434289932250977,738.4198608398438,2132.6533203125,9.990567207336426,9.484944343566895,1076.645263671875,2563.18896484375,1.0882205963134766,0.949345588684082,1.2179449796676636,1.207338571548462
00004+5044HJ,394028687810469248,394028722175190016,2016.0,2016.0,0.09346792022008588,0.09846047776755854,0.03446311876177788,0.012466490268707275,50.7394558599998,50.73894907395184,0.037872131913900375,0.013319550082087517,1.8461421905557525,1.7841277605479124,0.06155455857515335,0.023122405633330345,29.99196434020996,77.16012573242188,1.8989762798181757,4.060320205263518,0.047527167946100235,0.01714085042476654,-9.541610769683762,-9.673139547108168,0.05045294389128685,0.017116952687501907,9.348174095153809,10.477802276611328,0.9984255433082581,0.5589153170585632,31.0,31.0,27.0,27.0,0.08595677465200424,0.029742350801825523,4.354818344116211,1.3342286348342896,12.106267929077148,11.613282203674316,6888.7724609375,4976.193359375,12.371514320373535,11.873183250427246,2596.4833984375,2595.7431640625,11.681746482849121,11.188287734985352,4525.0615234375,4534.28857421875,0.6897678375244141,0.6848955154418945,1.1903594732284546,1.193434238433838
00004+3549CRB,2880054199382780800,2880054263806535424,2016.0,2016.0,0.10310708966381227,0.09762178294440077,0.028144698590040207,0.01619776338338852,35.802052991077595,35.81138758911477,0.01952051930129528,0.01146669965237379,5.704909883103095,5.82337812336612,0.03564515709877014,0.022338930517435074,160.04727172851562,260.6829528808594,66.79361258914686,66.64516634953317,0.03705958276987076,0.023006748408079147,6.7394857429714286,6.777191505911813,0.02252049557864666,0.013269486837089062,11.745595932006836,10.27877140045166,5.954220771789551,1.3106508255004883,31.0,31.0,19.0,18.0,0.053100649267435074,0.03291109949350357,1.0879350900650024,1.1786154508590698,15.249905586242676,12.902297019958496,2288.10546875,3811.76171875,16.457420349121094,13.52708911895752,337.8587341308594,938.7403564453125,14.164772987365723,12.150702476501465,1240.39013671875,1559.808349609375,2.292647361755371,1.3763866424560547,1.38206148147583,1.2490023374557495
00004+2749TDS,2854749489024255616,2854749489025811840,2016.0,2016.0,0.09760207979127578,0.09786486261147749,0.047536320984363556,0.05911468341946602,27.81124091161978,27.811248515211673,0.0474044494330883,0.0557360015809536,4.274688666183197,3.714187644825311,0.08183445781469345,0.09396255761384964,52.23580551147461,39.52838134765625,-6.416588662024581,-5.733684713510084,0.0664687305688858,0.08499319851398468,-23.749458321977556,-24.29473687587898,0.06135742738842964,0.06565137952566147,-13.966946601867676,-14.623163223266602,1.270531177520752,1.019423246383667,95.0,95.0,16.0,19.0,0.09414628148078918,0.11826794594526291,2.9852893352508545,4.862141132354736,11.529117584228516,11.39301872253418,1113.4866943359375,1245.980712890625,11.135485649108887,11.06443977355957,48.78278732299805,132.39022827148438,10.314126968383789,10.298686981201172,67.1329574584961,112.9677505493164,0.8213586807250977,0.7657527923583984,2.3309991359710693,2.134831190109253
00004+0830BU,2747057444686044672,2747057479045782784,2016.0,2016.0,0.10692529167841655,0.10615694925715385,0.022621437907218933,0.024396711960434914,8.500716983352671,8.502127946332344,0.015387783758342266,0.01692894473671913,3.866429972819415,4.254684142889383,0.027055472135543823,0.0292328130453825,142.90750122070312,145.54481506347656,-19.421755831127516,-19.94253183563778,0.034513674676418304,0.03674190863966942,-14.41987254978322,-14.737210243818536,0.01683901436626911,0.018196363002061844,-7.180071830749512,-9.728766441345215,0.5699905157089233,0.6112524271011353,31.0,31.0,16.0,16.0,0.049111418426036835,0.05238477140665054,1.4985380172729492,1.5402568578720093,11.761847496032715,9.850289344787598,3761.48828125,10520.50390625,12.065991401672363,10.236170768737793,1673.09130859375,4645.7890625,11.2816801071167,9.290665626525879,1620.66455078125,5287.3681640625,0.7843112945556641,0.9455051422119141,1.2030963897705078,1.2130894660949707
00004-0902LDS,2441008211295548416,2441008211295788032,2016.0,2016.0,0.10194882884183304,0.1064006694189144,0.051649872213602066,0.5999467968940735,-9.04557680157878,-9.044912582728909,0.04161832109093666,0.4894693195819855,5.966850279008519,5.624511926322659,0.059138450771570206,0.661895751953125,100.89628601074219,8.497579574584961,-98.7121527553095,-100.12808821278139,0.06686200201511383,0.8016791343688965,-78.43649162917886,-78.49603736514467,0.045401304960250854,0.49407443404197693,nan,-31.10922622680664,nan,16.68767738342285,31.0,95.0,16.0,15.0,0.09478361159563065,1.1291004419326782,1.0942398309707642,17.502012252807617,16.428483963012695,16.006441116333008,1254.241943359375,112.56397247314453,17.8848819732666,17.061580657958984,72.63294219970703,220.9817657470703,15.2415132522583,14.60207462310791,382.70184326171875,796.97412109375,2.643368721008301,2.459506034851074,1.4456608295440674,1.8088881969451904
